"","SEX","RELIGION","MARITALSTATUS","parti","age"
"412",2,"711","1","PSN",55.4219178082192
"413",1,"111","1","PSN",48.5506849315069
"414",2,"711","1","POP-SOL",20.3890410958904
"415",1,"711","1","POP-SOL",26.3561643835616
"416",2,"111","3","PLR",94.7041095890411
"417",2,"121","3","PLR",87.4739726027397
"418",2,"111","2","VERTS",32.8054794520548
"419",1,"711","1","POP-SOL",30.4493150684931
"420",1,"711","2","VERTS",47.3972602739726
"421",1,"811","2","PLR",45.3671232876712
"422",1,"711","1","PLR",49.4657534246575
"423",1,"121","1","VERTS",29.9643835616438
"424",2,"111","2","VERTS",68.1287671232877
"425",2,"121","1","PLR",37.1479452054795
"426",2,"121","2","PSN",68.5506849315069
"427",2,"711","2","PLR",45.2493150684932
"428",2,"111","2","PLR",51.4547945205479
"429",2,"111","2","UDC",58.9260273972603
"430",1,"111","4","POP-SOL",61.2876712328767
"431",1,"121","2","PSN",58.7315068493151
"432",2,"111","2","PLR",87.5780821917808
"433",1,"711","4","PLR",79.1315068493151
"434",2,"111","1","PLR",25.8109589041096
"435",2,"111","1","PSN",65.6082191780822
"436",1,"121","2","PSN",53.1068493150685
"437",1,"121","2","PSN",61.041095890411
"438",2,"121","3","PSN",75.8931506849315
"439",2,"121","2","VERTS",29.9643835616438
"440",1,"121","1","PSN",50.4684931506849
"441",2,"711","1","PLR",25.1479452054795
"442",1,"121","4","PSN",63.0520547945206
"443",1,"111","1","PSN",30.4356164383562
"444",1,"111","1","PLR",38.9534246575342
"445",2,"111","1","POP-SOL",25.3534246575342
"446",2,"811","2","VERTS",36.4547945205479
"447",1,"121","2","PLR",62.9424657534247
"448",2,"121","2","PLR",53.0191780821918
"449",1,"121","2","POP-SOL",42.2602739726027
"450",1,"111","2","PLR",59.4
"451",1,"111","2","PLR",82.3945205479452
"452",2,"111","2","POP-SOL",63.9945205479452
"453",2,"711","2","VERT-LIB",33.1041095890411
"454",1,"811","2","VERTS",90.572602739726
"455",2,"121","2","PLR",73.958904109589
"456",2,"811","2","VERTS",35.758904109589
"457",1,"711","2","VERT-LIB",60.5698630136986
"458",2,"111","1","VERTS",37.613698630137
"459",1,"111","2","VERTS",64.2739726027397
"460",2,"121","2","PLR",56.8794520547945
"461",2,"121","1","POP-SOL",46.9150684931507
"462",2,"111","2","PLR",57.7424657534247
"463",2,"111","2","PLR",53.3917808219178
"464",1,"121","2","PLR",67.7452054794521
"465",2,"121","3","PSN",71.6520547945206
"466",1,"111","2","PLR",79.5342465753425
"467",1,"111","1","PSN",20.1041095890411
"468",2,"811","2","UDC",62.3945205479452
"469",2,"121","1","POP-SOL",57.213698630137
"470",2,"111","2","UDC",67.9095890410959
"471",2,"121","4","VERTS",57.5342465753425
"472",1,"111","4","PSN",79.6876712328767
"473",1,"121","2","POP-SOL",50.3479452054795
"474",2,"111","2","VERTS",64.3068493150685
"475",2,"121","1","PLR",43.1506849315069
"476",1,"711","2","PLR",65.6630136986301
"477",1,"111","1","PSN",23.8630136986301
"478",1,"121","2","PLR",85.0164383561644
"479",1,"121","2","PLR",50.0109589041096
"480",1,"811","2","VERTS",43.0931506849315
"481",2,"111","4","PSN",67.7424657534247
"482",1,"111","2","PSN",62.627397260274
"483",1,"121","2","POP-SOL",83.1178082191781
"484",2,"711","1","PSN",33.5780821917808
"485",1,"811","2","UDC",32.972602739726
"486",1,"711","2","PLR",52.0438356164384
"487",2,"121","1","UDC",23.7698630136986
"488",1,"121","1","PLR",38.7369863013699
"489",1,"121","2","PLR",61.5205479452055
"490",1,"111","4","PDC",92.3150684931507
"491",1,"711","4","VERTS",61.2712328767123
"492",2,"121","1","PSN",27.5780821917808
"493",2,"121","4","POP-SOL",44.4383561643836
"494",2,"111","3","VERTS",88.586301369863
"495",1,"111","2","PSN",56.0054794520548
"496",2,"121","4","PSN",49.5369863013699
"497",2,"111","3","VERTS",88.613698630137
"498",2,"111","2","PLR",77.7397260273973
"499",1,"711","1","PLR",57.0328767123288
"500",1,"121","1","VERTS",27.7561643835616
"501",2,"111","4","PLR",55.9205479452055
"502",1,"111","2","PSN",72.3698630136986
"503",1,"711","1","PLR",20.6328767123288
"504",1,"711","2","VERT-LIB",33.4547945205479
"505",1,"711","4","PSN",80.1123287671233
"506",1,"811","2","POP-SOL",48.2054794520548
"507",1,"711","4","PLR",67.8684931506849
"508",2,"121","1","POP-SOL",42.2821917808219
"509",2,"711","2","PSN",44.5561643835616
"510",1,"711","1","PSN",33.1698630136986
"511",2,"121","2","PLR",41.3123287671233
"512",1,"121","1","UDC",44.4849315068493
"513",1,"121","1","PSN",42.4876712328767
"514",2,"111","2","PLR",62.7890410958904
"515",2,"121","4","UDC",77.5232876712329
"516",2,"111","2","PSN",78.654794520548
"517",2,"111","3","VERT-LIB",83.4493150684931
"518",2,"121","4","PLR",73.5123287671233
"519",2,"111","1","POP-SOL",24.8739726027397
"520",1,"111","2","UDC",56.758904109589
"521",2,"0","2","PLR",47.0109589041096
"522",2,"121","1","PSN",46.3095890410959
"523",1,"711","2","PSN",84.213698630137
"524",1,"711","2","POP-SOL",84.3041095890411
"525",1,"121","2","UDC",81.1835616438356
"526",1,"111","1","PSN",33.2328767123288
"527",2,"711","4","PSN",68.1780821917808
"528",1,"121","2","PSN",57.627397260274
"529",1,"121","2","PLR",72.7041095890411
"530",2,"121","4","POP-SOL",47.2109589041096
"531",2,"711","2","POP-SOL",64.8082191780822
"532",2,"811","2","PLR",46.2027397260274
"533",1,"0","4","PLR",65.4219178082192
"534",2,"111","2","PLR",56.5643835616438
"535",1,"811","2","PSN",32.9452054794521
"536",2,"121","3","PSN",86.0602739726027
"537",2,"111","3","PLR",77.6958904109589
"538",2,"121","1","PSN",42.2191780821918
"539",1,"711","2","PLR",42.986301369863
"540",1,"111","2","POP-SOL",71.2958904109589
"541",2,"121","4","PLR",95.9369863013699
"542",1,"111","1","PLR",31.5643835616438
"543",1,"111","1","UDC",48.1013698630137
"544",2,"121","2","PSN",40.8328767123288
"545",2,"121","2","PLR",55.5342465753425
"546",1,"111","2","PSN",44.8054794520548
"547",2,"811","2","VERT-LIB",34.3315068493151
"548",1,"111","2","PLR",53.8575342465753
"549",1,"711","2","PSN",36.4164383561644
"550",2,"111","2","VERTS",77.5753424657534
"551",2,"121","3","PLR",79.1698630136986
"552",2,"811","2","PSN",31.1424657534247
"553",2,"811","2","PSN",51.9342465753425
"554",2,"121","1","PLR",40.6383561643836
"555",1,"111","2","PSN",23.3534246575342
"556",1,"111","4","PSN",75.0493150684931
"557",1,"711","1","PLR",32.3397260273973
"558",2,"121","1","PSN",64.6904109589041
"559",2,"111","1","PSN",30.2794520547945
"560",1,"711","2","PSN",56.841095890411
"561",1,"111","2","PSN",71.3424657534247
"562",1,"121","2","PLR",52.9643835616438
"563",2,"111","2","UDC",49.0876712328767
"564",2,"121","2","PSN",58.7315068493151
"565",2,"111","2","VERTS",56.9890410958904
"566",2,"711","2","PSN",56.0821917808219
"567",1,"711","2","PLR",69.4
"568",1,"121","1","PLR",45.3917808219178
"569",1,"111","1","PSN",33.1835616438356
"570",1,"111","1","POP-SOL",25.2027397260274
"571",1,"121","1","PLR",30.6904109589041
"572",1,"811","1","UDC",21.6493150684932
"573",1,"811","2","PLR",49.0465753424658
"574",1,"111","1","VERTS",35.2465753424658
"575",2,"111","1","PSN",30.8191780821918
"576",2,"121","3","PSN",69.441095890411
"577",2,"121","1","PLR",27.3506849315068
"578",2,"121","3","PSN",96.6821917808219
"579",2,"111","4","PLR",40.7397260273973
"580",2,"121","2","UDC",50.1561643835616
"581",2,"111","2","VERTS",48.2904109589041
"582",2,"111","3","POP-SOL",77.9835616438356
"583",1,"111","4","PLR",66.0054794520548
"584",2,"121","2","VERTS",27.2630136986301
"585",2,"121","1","PLR",20.2301369863014
"586",2,"711","4","PLR",52.4109589041096
"587",2,"111","1","PLR",65.9068493150685
"588",1,"121","2","PLR",62.8684931506849
"589",2,"711","2","PSN",62.8547945205479
"590",2,"811","2","VERTS",60.5232876712329
"591",2,"711","4","PSN",68.9369863013699
"592",1,"111","2","PSN",72.9232876712329
"593",1,"111","2","PLR",70.8438356164384
"594",2,"121","2","PLR",59.4082191780822
"595",1,"121","2","POP-SOL",80.8301369863014
"596",1,"121","2","PLR",37.4438356164384
"597",1,"111","2","PLR",62.3178082191781
"598",2,"811","2","UDC",38.4246575342466
"599",1,"811","1","UDC",32.6684931506849
"600",2,"811","2","PLR",53.0164383561644
"601",1,"121","2","UDC",67.6246575342466
"602",2,"0","1","PSN",26.3287671232877
"603",2,"121","2","POP-SOL",61.5452054794521
"604",1,"711","1","PLR",38.8219178082192
"605",2,"121","2","PLR",65.3534246575342
"606",1,"121","2","PLR",56.372602739726
"607",2,"111","2","PLR",60.4547945205479
"608",2,"811","4","UDC",63.0191780821918
"609",2,"111","1","UDC",22.8438356164384
"610",2,"111","2","PLR",49.0109589041096
"611",1,"121","2","PSN",45.2356164383562
"612",1,"711","1","PLR",29.9616438356164
