Canton;Annee;Parti;Suffrage_en_pourcent
Zürich;1999;PVL;
Zürich;1999;PBD;
Zürich;1999;PST;
Zürich;1999;PSA;
Zürich;1999;POCH;
Zürich;1999;PES;4.14
Zürich;1999;AVF;1.79
Zürich;1999;Sol.;
Zürich;1999;Rép.;
Zürich;1999;DS;1.55
Zürich;1999;UDF;1.76
Zürich;1999;PSL;0.82
Zürich;1999;Lega;
Zürich;1999;MCR;
Zürich;1999;Sép.;
Zürich;1999;Autres;3.03
Zürich;1995;PLR;18.1
Zürich;1995;PDC;4.87
Zürich;1995;PS;23.07
Zürich;1995;UDC;25.46
Zürich;1995;PL;0.47
Zürich;1995;AdI;5.31
Zürich;1995;PEV;3.74
Zürich;1995;PCS;0.16
Zürich;1995;PVL;
Zürich;1995;PBD;
Zürich;1995;PST;
Zürich;1995;PSA;
Zürich;1995;POCH;
Zürich;1995;PES;6.52
Zürich;1995;AVF;2.72
Zürich;1995;Sol.;
Zürich;1995;Rép.;
Zürich;1995;DS;3.29
Zürich;1995;UDF;1.86
Zürich;1995;PSL;3.54
Zürich;1995;Lega;
Zürich;1995;MCR;
Zürich;1995;Sép.;
Zürich;1995;Autres;0.87
Zürich;1991;PLR;18.66
Zürich;1991;PDC;5.9
Zürich;1991;PS;18.79
Zürich;1991;UDC;20.16
Zürich;1991;PL;
Zürich;1991;AdI;6.1
Zürich;1991;PEV;4.78
Zürich;1991;PCS;
Zürich;1991;PVL;
Zürich;1991;PBD;
Zürich;1991;PST;
Zürich;1991;PSA;
Zürich;1991;POCH;
Zürich;1991;PES;7.01
Zürich;1991;AVF;2.44
Zürich;1991;Sol.;
Zürich;1991;Rép.;
Zürich;1991;DS;5.2
Zürich;1991;UDF;1.77
Zürich;1991;PSL;5.93
Zürich;1991;Lega;
Zürich;1991;MCR;
Zürich;1991;Sép.;
Zürich;1991;Autres;3.26
Zürich;1987;PLR;20.33
Zürich;1987;PDC;7.13
Zürich;1987;PS;17.44
Zürich;1987;UDC;15.21
Zürich;1987;PL;
Zürich;1987;AdI;11.58
Zürich;1987;PEV;4.37
Zürich;1987;PCS;
Zürich;1987;PVL;
Zürich;1987;PBD;
Zürich;1987;PST;0.26
Zürich;1987;PSA;
Zürich;1987;POCH;3.84
Zürich;1987;PES;8.03
Zürich;1987;AVF;
Zürich;1987;Sol.;
Zürich;1987;Rép.;0.48
Zürich;1987;DS;4.97
Zürich;1987;UDF;1.76
Zürich;1987;PSL;3.76
Zürich;1987;Lega;
Zürich;1987;MCR;
Zürich;1987;Sép.;
Zürich;1987;Autres;0.85
Zürich;1983;PLR;21.79
Zürich;1983;PDC;9.08
Zürich;1983;PS;23.01
Zürich;1983;UDC;13.84
Zürich;1983;PL;
Zürich;1983;AdI;9.94
Zürich;1983;PEV;5.43
Zürich;1983;PCS;
Zürich;1983;PVL;
Zürich;1983;PBD;
Zürich;1983;PST;0.35
Zürich;1983;PSA;
Zürich;1983;POCH;3.79
Zürich;1983;PES;4.16
Zürich;1983;AVF;0.63
Zürich;1983;Sol.;
Zürich;1983;Rép.;
Zürich;1983;DS;5.86
Zürich;1983;UDF;0.58
Zürich;1983;PSL;
Zürich;1983;Lega;
Zürich;1983;MCR;
Zürich;1983;Sép.;
Zürich;1983;Autres;1.54
Zürich;1979;PLR;22.38
Zürich;1979;PDC;9.71
Zürich;1979;PS;26.47
Zürich;1979;UDC;14.45
Zürich;1979;PL;
Zürich;1979;AdI;11.16
Zürich;1979;PEV;5.67
Zürich;1979;PCS;
Zürich;1979;PVL;
Zürich;1979;PBD;
Zürich;1979;PST;1.2
Zürich;1979;PSA;
Zürich;1979;POCH;2.29
Zürich;1979;PES;1.34
Zürich;1979;AVF;
Zürich;1979;Sol.;
Zürich;1979;Rép.;0.91
Zürich;1979;DS;2.51
Zürich;1979;UDF;0.35
Zürich;1979;PSL;
Zürich;1979;Lega;
Zürich;1979;MCR;
Zürich;1979;Sép.;
Zürich;1979;Autres;1.55
Zürich;1975;PLR;18.46
Zürich;1975;PDC;9.37
Zürich;1975;PS;23.94
Zürich;1975;UDC;11.34
Zürich;1975;PL;
Zürich;1975;AdI;15.59
Zürich;1975;PEV;5.38
Zürich;1975;PCS;
Zürich;1975;PVL;
Zürich;1975;PBD;
Zürich;1975;PST;1.1
Zürich;1975;PSA;
Zürich;1975;POCH;1.52
Zürich;1975;PES;
Zürich;1975;AVF;
Zürich;1975;Sol.;
Zürich;1975;Rép.;6.2
Zürich;1975;DS;4.37
Zürich;1975;UDF;0.52
Zürich;1975;PSL;
Zürich;1975;Lega;
Zürich;1975;MCR;
Zürich;1975;Sép.;
Zürich;1975;Autres;2.19
Zürich;1971;PLR;16.76
Zürich;1971;PDC;9.54
Zürich;1971;PS;20.87
Zürich;1971;UDC;12.16
Zürich;1971;PL;
Zürich;1971;AdI;16.52
Zürich;1971;PEV;5.19
Zürich;1971;PCS;
Zürich;1971;PVL;
Zürich;1971;PBD;
Zürich;1971;PST;1.6
Zürich;1971;PSA;
Zürich;1971;POCH;
Zürich;1971;PES;
Zürich;1971;AVF;
Zürich;1971;Sol.;
Zürich;1971;Rép.;10.42
Zürich;1971;DS;4.95
Zürich;1971;UDF;
Zürich;1971;PSL;
Zürich;1971;Lega;
Zürich;1971;MCR;
Zürich;1971;Sép.;
Zürich;1971;Autres;1.99
Bern / Berne;2019;PLR;8.36
Bern / Berne;2019;PDC;1.87
Bern / Berne;2019;PS;16.82
Bern / Berne;2019;UDC;30.03
Bern / Berne;2019;PL;
Bern / Berne;2019;AdI;
Bern / Berne;2019;PEV;4.18
Bern / Berne;2019;PCS;
Bern / Berne;2019;PVL;9.74
Bern / Berne;2019;PBD;8.04
Bern / Berne;2019;PST;0.62
Bern / Berne;2019;PSA;
Bern / Berne;2019;POCH;
Bern / Berne;2019;PES;13.59
Bern / Berne;2019;AVF;
Bern / Berne;2019;Sol.;
Bern / Berne;2019;Rép.;
Bern / Berne;2019;DS;0.37
Bern / Berne;2019;UDF;2.45
Bern / Berne;2019;PSL;
Bern / Berne;2019;Lega;
Bern / Berne;2019;MCR;
Bern / Berne;2019;Sép.;
Bern / Berne;2019;Autres;3.94
Bern / Berne;2015;PLR;9.33
Bern / Berne;2015;PDC;1.83
Bern / Berne;2015;PS;19.68
Bern / Berne;2015;UDC;33.12
Bern / Berne;2015;PL;
Bern / Berne;2015;AdI;
Bern / Berne;2015;PEV;4.31
Bern / Berne;2015;PCS;
Bern / Berne;2015;PVL;6
Bern / Berne;2015;PBD;11.76
Bern / Berne;2015;PST;0.52
Bern / Berne;2015;PSA;
Bern / Berne;2015;POCH;
Bern / Berne;2015;PES;8.51
Bern / Berne;2015;AVF;
Bern / Berne;2015;Sol.;
Bern / Berne;2015;Rép.;
Bern / Berne;2015;DS;0.44
Bern / Berne;2015;UDF;2.84
Bern / Berne;2015;PSL;
Bern / Berne;2015;Lega;
Bern / Berne;2015;MCR;
Bern / Berne;2015;Sép.;
Bern / Berne;2015;Autres;1.66
Bern / Berne;2011;PLR;8.66
Bern / Berne;2011;PDC;2.07
Bern / Berne;2011;PS;19.33
Bern / Berne;2011;UDC;28.99
Bern / Berne;2011;PL;
Bern / Berne;2011;AdI;
Bern / Berne;2011;PEV;4.17
Bern / Berne;2011;PCS;
Bern / Berne;2011;PVL;5.29
Bern / Berne;2011;PBD;14.88
Bern / Berne;2011;PST;0.34
Bern / Berne;2011;PSA;
Bern / Berne;2011;POCH;
Bern / Berne;2011;PES;9.41
Bern / Berne;2011;AVF;0.46
Bern / Berne;2011;Sol.;
Bern / Berne;2011;Rép.;
Bern / Berne;2011;DS;0.56
Bern / Berne;2011;UDF;3.1
Bern / Berne;2011;PSL;
Bern / Berne;2011;Lega;
Bern / Berne;2011;MCR;
Bern / Berne;2011;Sép.;
Bern / Berne;2011;Autres;2.73
Bern / Berne;2007;PLR;15.12
Bern / Berne;2007;PDC;4.75
Bern / Berne;2007;PS;21.18
Bern / Berne;2007;UDC;33.58
Bern / Berne;2007;PL;
Bern / Berne;2007;AdI;
Bern / Berne;2007;PEV;5.44
Bern / Berne;2007;PCS;
Bern / Berne;2007;PVL;
Bern / Berne;2007;PBD;
Bern / Berne;2007;PST;
Bern / Berne;2007;PSA;
Bern / Berne;2007;POCH;
Bern / Berne;2007;PES;12.89
Bern / Berne;2007;AVF;
Bern / Berne;2007;Sol.;
Bern / Berne;2007;Rép.;
Bern / Berne;2007;DS;1.53
Bern / Berne;2007;UDF;3.55
Bern / Berne;2007;PSL;0.62
Bern / Berne;2007;Lega;
Bern / Berne;2007;MCR;
Bern / Berne;2007;Sép.;
Bern / Berne;2007;Autres;1.33
Bern / Berne;2003;PLR;14.8
Bern / Berne;2003;PDC;2.34
Bern / Berne;2003;PS;27.95
Bern / Berne;2003;UDC;29.62
Bern / Berne;2003;PL;
Bern / Berne;2003;AdI;
Bern / Berne;2003;PEV;5.15
Bern / Berne;2003;PCS;
Bern / Berne;2003;PVL;
Bern / Berne;2003;PBD;
Bern / Berne;2003;PST;
Bern / Berne;2003;PSA;
Bern / Berne;2003;POCH;
Bern / Berne;2003;PES;9.28
Bern / Berne;2003;AVF;
Bern / Berne;2003;Sol.;
Bern / Berne;2003;Rép.;
Bern / Berne;2003;DS;2.67
Bern / Berne;2003;UDF;4.1
Bern / Berne;2003;PSL;1.05
Bern / Berne;2003;Lega;
Bern / Berne;2003;MCR;
Bern / Berne;2003;Sép.;1.95
Bern / Berne;2003;Autres;1.09
Bern / Berne;1999;PLR;17.18
Bern / Berne;1999;PDC;2.42
Bern / Berne;1999;PS;27.6
Bern / Berne;1999;UDC;28.55
Bern / Berne;1999;PL;
Bern / Berne;1999;AdI;0.76
Bern / Berne;1999;PEV;3.98
Bern / Berne;1999;PCS;
Bern / Berne;1999;PVL;
Bern / Berne;1999;PBD;
Bern / Berne;1999;PST;
Bern / Berne;1999;PSA;
Bern / Berne;1999;POCH;
Bern / Berne;1999;PES;7.46
Bern / Berne;1999;AVF;
Bern / Berne;1999;Sol.;
Bern / Berne;1999;Rép.;
Bern / Berne;1999;DS;3.72
Bern / Berne;1999;UDF;3.95
Bern / Berne;1999;PSL;2.74
Bern / Berne;1999;Lega;
Bern / Berne;1999;MCR;
Bern / Berne;1999;Sép.;
Bern / Berne;1999;Autres;1.65
Bern / Berne;1995;PLR;15.65
Bern / Berne;1995;PDC;1.85
Bern / Berne;1995;PS;24.7
Bern / Berne;1995;UDC;26.01
Bern / Berne;1995;PL;0.31
Bern / Berne;1995;AdI;1.94
Bern / Berne;1995;PEV;3.76
Bern / Berne;1995;PCS;
Bern / Berne;1995;PVL;
Bern / Berne;1995;PBD;
Bern / Berne;1995;PST;
Bern / Berne;1995;PSA;
Bern / Berne;1995;POCH;
Bern / Berne;1995;PES;5.86
Bern / Berne;1995;AVF;2.47
Bern / Berne;1995;Sol.;
Bern / Berne;1995;Rép.;
Bern / Berne;1995;DS;5.45
Bern / Berne;1995;UDF;4.17
Bern / Berne;1995;PSL;5.86
Bern / Berne;1995;Lega;
Bern / Berne;1995;MCR;
Bern / Berne;1995;Sép.;1.46
Bern / Berne;1995;Autres;0.52
Bern / Berne;1991;PLR;13.66
Bern / Berne;1991;PDC;2.57
Bern / Berne;1991;PS;19.96
Bern / Berne;1991;UDC;26.33
Bern / Berne;1991;PL;
Bern / Berne;1991;AdI;2.95
Bern / Berne;1991;PEV;3.31
Bern / Berne;1991;PCS;
Bern / Berne;1991;PVL;
Bern / Berne;1991;PBD;
Bern / Berne;1991;PST;0.19
Bern / Berne;1991;PSA;
Bern / Berne;1991;POCH;
Bern / Berne;1991;PES;9.89
Bern / Berne;1991;AVF;2
Bern / Berne;1991;Sol.;
Bern / Berne;1991;Rép.;
Bern / Berne;1991;DS;6
Bern / Berne;1991;UDF;3.44
Bern / Berne;1991;PSL;6.84
