Canton	Annee	Parti	Electeurs fictifs	Suffrage en pourcent
Zürich	1975	AVF		
Zürich	1975	Sol.		
Zürich	1975	Rép.	20789	6.2
Zürich	1975	DS	14639	4.37
Zürich	1975	UDF	1751	0.52
Zürich	1975	PSL		
Zürich	1975	Lega		
Zürich	1975	MCR		
Zürich	1975	Sép.		
Zürich	1975	Autres	7347	2.19
Zürich	1971	PLR	62254	16.76
Zürich	1971	PDC	35442	9.54
Zürich	1971	PS	77532	20.87
Zürich	1971	UDC	45170	12.16
Zürich	1971	PL		
Zürich	1971	AdI	61347	16.52
Zürich	1971	PEV	19278	5.19
Zürich	1971	PCS		
Zürich	1971	PVL		
Zürich	1971	PBD		
Zürich	1971	PST	5941	1.6
Zürich	1971	PSA		
Zürich	1971	POCH		
Zürich	1971	PES		
Zürich	1971	AVF		
Zürich	1971	Sol.		
Zürich	1971	Rép.	38705	10.42
Zürich	1971	DS	18398	4.95
Zürich	1971	UDF		
Zürich	1971	PSL		
Zürich	1971	Lega		
Zürich	1971	MCR		
Zürich	1971	Sép.		
Zürich	1971	Autres	7375	1.99
Bern / Berne	2019	PLR	29069	8.36
Bern / Berne	2019	PDC	6512	1.87
Bern / Berne	2019	PS	58496	16.82
Bern / Berne	2019	UDC	104421	30.03
Bern / Berne	2019	PL		
Bern / Berne	2019	AdI		
Bern / Berne	2019	PEV	14523	4.18
Bern / Berne	2019	PCS		
Bern / Berne	2019	PVL	33851	9.74
Bern / Berne	2019	PBD	27961	8.04
Bern / Berne	2019	PST	2146	0.62
Bern / Berne	2019	PSA		
Bern / Berne	2019	POCH		
Bern / Berne	2019	PES	47237	13.59
Bern / Berne	2019	AVF		
Bern / Berne	2019	Sol.		
Bern / Berne	2019	Rép.		
Bern / Berne	2019	DS	1273	0.37
Bern / Berne	2019	UDF	8526	2.45
Bern / Berne	2019	PSL		
Bern / Berne	2019	Lega		
Bern / Berne	2019	MCR		
Bern / Berne	2019	Sép.		
Bern / Berne	2019	Autres	13700	3.94
Bern / Berne	2015	PLR	33033	9.33
Bern / Berne	2015	PDC	6496	1.83
Bern / Berne	2015	PS	69663	19.68
Bern / Berne	2015	UDC	117263	33.12
Bern / Berne	2015	PL		
Bern / Berne	2015	AdI		
Bern / Berne	2015	PEV	15250	4.31
Bern / Berne	2015	PCS		
Bern / Berne	2015	PVL	21234	6
Bern / Berne	2015	PBD	41619	11.76
Bern / Berne	2015	PST	1844	0.52
Bern / Berne	2015	PSA		
Bern / Berne	2015	POCH		
Bern / Berne	2015	PES	30116	8.51
Bern / Berne	2015	AVF		
Bern / Berne	2015	Sol.		
Bern / Berne	2015	Rép.		
Bern / Berne	2015	DS	1571	0.44
Bern / Berne	2015	UDF	10060	2.84
Bern / Berne	2015	PSL		
Bern / Berne	2015	Lega		
Bern / Berne	2015	MCR		
Bern / Berne	2015	Sép.		
Bern / Berne	2015	Autres	5878	1.66
Bern / Berne	2011	PLR	30938	8.66
Bern / Berne	2011	PDC	7387	2.07
Bern / Berne	2011	PS	69084	19.33
Bern / Berne	2011	UDC	103614	28.99
Bern / Berne	2011	PL		
Bern / Berne	2011	AdI		
Bern / Berne	2011	PEV	14918	4.17
Bern / Berne	2011	PCS		
Bern / Berne	2011	PVL	18913	5.29
Bern / Berne	2011	PBD	53188	14.88
Bern / Berne	2011	PST	1225	0.34
Bern / Berne	2011	PSA		
Bern / Berne	2011	POCH		
Bern / Berne	2011	PES	33652	9.41
Bern / Berne	2011	AVF	1651	0.46
Bern / Berne	2011	Sol.		
Bern / Berne	2011	Rép.		
Bern / Berne	2011	DS	2005	0.56
Bern / Berne	2011	UDF	11095	3.1
Bern / Berne	2011	PSL		
Bern / Berne	2011	Lega		
Bern / Berne	2011	MCR		
Bern / Berne	2011	Sép.		
Bern / Berne	2011	Autres	9769	2.73
Bern / Berne	2007	PLR	48712	15.12
Bern / Berne	2007	PDC	15305	4.75
Bern / Berne	2007	PS	68259	21.18
Bern / Berne	2007	UDC	108228	33.58
Bern / Berne	2007	PL		
Bern / Berne	2007	AdI		
Bern / Berne	2007	PEV	17528	5.44
